ParticipantId	SampleCode	contdag	gesl2	LFTB	pershuis	Lftpershuis1	Lftpershuis2	Lftpershuis3	Lftpershuis4	Lftpershuis5	Lftpershuis6	Lftpershuis7	Lftpershuis8	Lftpershuis9	Lftpershuis10	contpers0tot9	contpers10tot19	contpers20tot29	contpers30tot39	contpers40tot49	contpers50tot59	contpers60tot69	contpers70tot79	contpers80tot89	contpers90plus	contpers0tot4	contpers5tot9	pershuisv2
6713	13602247	1	2	26	2	35													2		2	2						2
6717		5	1	26	2	86												2	3	1	1							2
6721	13602186	6	2	26	2	29										2		5	10	6	4						2	2
6722	13602277	4	1	26	3	1	27	30								3	12	4	4	4	5	2				1	2	3
6725		4	1	27	4	0	2	27	29								2	1		2	5							4
6726	13602416	3	2	27	2	37													1		2	6						2
6730	13602160	1	2	28	4	3	7	28	32							2	2		3			1	1			1	1	4
6737	13602195	1	2	29	3	1	33									3	1		1		1					2	1	3
6739	13602197	3	1	29	1											5	5	11	15	14	8	8	3			2	3	1
6741	13602255	2	1	29	2	31											10		1	1								2
6743	13602265	1	2	30	2	34										1	2	1			4					1		2
6745	13602407	2	1	30	5	1	2	4	26								2	4	2	1	1							5
6746	13602271	2	2	31	5	4	9	11	37							3			2	3						2	1	5
6750	13602254	2	2	31	2	29											1	1	1	1	1	1	1	1	1			2
6751	13602205	6	1	31	2	26	31										10	20	20	20	10	10						2
6757	13602260	5	2	33	4	0	3	36									1		3	2								4
6759	13602184	1	2	33	4	2	8	33	37									1	1									4
6760	13602194	7	1	34	5	1	10	15	34										1	2	2	1		2				5
6765		6	1	35	2	35												3	9									2
6766		6	2	35	4	4	6	46								6	6	2	6	5	2	1	2			2	4	4
6768	13602403	6	1	36	3	6	31	36													2	1						3
6771	13602200	7	2	36	5	11	13	15	40																			5
6772	13602259	5	1	36	4	0	3	33								3		5	5	1	1					3		4
6773	13602202	4	1	37	5	0	4	7	37	38						10	4	4	6	5	3	2	2			3	7	5
6774	13602196	1	1	37	4	4	7	32										1	4	2	3	1						4
6776	13602201	2	1	37	5	0	7	10	35	37									5	2	1							5
6777	13602240	1	2	37	6	3	7	12	14	42						3	2		2		1	1				1	2	6
6778		2	1	38	5	8	11	13	36	38								2	2	4								5
6780	13602216	1	2	38	9	3	10	11	15	16	17	18	41			1	6		2	2						1		9
6782	13602272	3	1	40														6	4									
6785	13602268	1	2	40	3	17	40	40										1		1	1							3
6788	13602410	1	1	41	5	5	9	10	33									3	2	4			1					5
6789	13602177	4	1	41	4	1	4	34								1		2	2	2	3	1					1	4
6793	13602408	1	1	42	3	11	41												2	5			1					3
6794	13602203	6	1	43	6	6	10	12	15	38	43						3	2	8	6	4		2					6
6795	13602415		1	43	5	15	18	19	43	44																		5
6796	13602249	1	1	43	5	12	14	15	43								8		11	11								5
6797	13602172	4	1	44	3	62	62	93									1					1					2	3
